ABBREVIATION|DESIGNATION NAME
AC|ADVISORY COUNCIL
APTC|ALLIED PRINTING TRADES COUNCIL
AREA|AREA
ASSN|ASSOCIATION
BCTC|BLDG &amp; CONSTRUCTION TRADES COUNCIL
BD|BOARD
BR|BRANCH
CAP|CAP COUNCIL
CH|CHAPTER
COM|COMMITTEE
CONF|CONFERENCE
CONBD|CONFERENCE BOARD
C |COUNCIL
DALU|DIRECTLY AFFILIATED LOCAL UNION
D|DISTRICT
DC|DISTRICT COUNCIL
DJC|DISTRICT JOINT COUNCIL
DLG|DISTRICT LODGE
DIV|DIVISION
FED|FEDERATION
FASTC|FOOD & ALLIED SVC TRADES COUNCIL
GC|GENERAL COMMITTEE
GO|GENERAL COMMITTEE GO
GCA|GENERAL COMMITTEE OF ADJUSTMENT
GMB|GENERAL MEMBERSHIP BRANCH
IUDTC|INDUST UNION DEPT TRADES COUNCIL
IUB|INDUSTRIAL UNION BRANCH
INTRM|INTERMEDIATE
JA|JOINT ADMINISTRATION
JB|JOINT BOARD
JCONF|JOINT CONFERENCE
JC|JOINT COUNCIL
JPB|JOINT PROTECTIVE BOARD
LEADC|LEADERSHIP COUNCIL
LBR|LOCAL BRANCH
LCH|LOCAL CHAPTER
LC|LOCAL COUNCIL
LDIV|LOCAL DIVISION
LEC|LOCAL EXECUTIVE COUNCIL
LJEB|LOCAL JOINT EXECUTIVE BOARD
LLG|LOCAL LODGE
LSC|LOCAL STAFF COUNCIL
LU|LOCAL UNION
LG|LODGE
MEC|MASTER EXECUTIVE COUNCIL
MTC|METAL TRADES COUNCIL
NC|NATIONAL COUNCIL
NHQ|NATIONAL HEADQUARTERS
PC|PORT COUNCIL
POWER|PROJ FOR ORG WORK EXPANSION/RECOV
R|REGION
RB|REGIONAL BOARD
RC|REGIONAL COUNCIL
ROC|REGIONAL ORGANIZING COMMITTEE
SA|STATE ASSOCIATION
STCON|STATE CONFERENCE
STC|STATE COUNCIL
SFED|STATE FEDERATION
SLB|STATE LEGISLATIVE BOARD
SDC|SUB-DISTRICT COUNCIL
SLG|SUB-LODGE, SUBORDINATE LODGE
SBA|SYSTEM BOARD OF ADJUSTMENT
SCOM|SYSTEM COMMITTEE
SC|SYSTEM COUNCIL
SD|SYSTEM DIVISION
SF|SYSTEM FEDERATION
USC|UNIFIED STATE COUNCIL
ULSTC|UNION LABEL SERVICE TRADES COUNCIL
UNIT|UNIT
